time,voltage,speed,distance_traveled
1726327434432,142.48,0.0,0.0
1726327434531,141.67,0.0,0.0
1726327434631,140.86,0.0,0.0
1726327434735,139.24,0.0,0.0
1726327434834,139.24,0.0,0.0
1726327434947,138.83,0.0,0.0
1726327435047,138.02,0.0,0.0
1726327435161,137.62,0.0,0.0
1726327435247,137.62,0.0,0.0
1726327435347,137.21,0.0,0.0
1726327435479,137.21,0.0,0.0
1726327435563,136.81,0.0,0.0
1726327435646,136.81,0.0,0.0
1726327435747,136.4,0.0,0.0
1726327435847,136.0,0.0,0.0
1726327435947,135.6,0.0,0.0
1726327436047,134.79,0.0,0.0
1726327436146,134.79,0.0,0.0
1726327436246,133.98,0.0,0.0
1726327436361,133.57,0.0,0.0
1726327436478,133.57,0.0,0.0
1726327436579,133.17,0.0,0.0
1726327436663,133.17,0.0,0.0
1726327436777,132.76,0.0,0.0
1726327436862,132.76,0.0,0.0
1726327436979,132.76,0.0,0.0
1726327437062,132.76,0.0,0.0
1726327437163,132.36,0.0,0.0
1726327437263,131.95,0.0,0.0
1726327437378,131.95,0.0,0.0
1726327437480,131.95,0.0,0.0
1726327437578,131.95,0.0,0.0
1726327437678,131.95,0.0,0.0
1726327437780,131.55,0.0,0.0
1726327437894,131.55,0.0,0.0
1726327437994,131.14,0.0,0.0
1726327438077,131.14,0.0,0.0
1726327438179,131.14,0.0,0.0
1726327438278,131.14,0.0,0.0
1726327438395,131.14,0.0,0.0
1726327438479,131.14,0.0,0.0
1726327438594,131.14,0.0,0.0
1726327438679,131.55,0.0,0.0
1726327438795,131.55,0.0,0.0
1726327438894,131.95,0.0,0.0
1726327438980,131.55,0.0,0.0
1726327439078,131.14,0.0,0.0
1726327439178,131.14,0.0,0.0
1726327439295,130.74,0.0,0.0
1726327439411,130.33,0.0,0.0
1726327439494,130.33,0.0,0.0
1726327439595,129.93,0.0,0.0
1726327439693,129.93,0.0,0.0
1726327439827,129.93,0.0,0.0
1726327439927,129.93,0.0,0.0
1726327440010,129.93,0.0,0.0
1726327440109,130.33,0.0,0.0
1726327440194,129.93,0.0,0.0
1726327440294,130.33,0.0,0.0
1726327440410,130.74,0.0,0.0
1726327440494,130.74,0.0,0.0
1726327440594,130.74,0.0,0.0
1726327440677,130.74,0.0,0.0
1726327440776,130.33,0.0,0.0
1726327440876,130.33,0.0,0.0
1726327440960,129.93,0.0,0.0
1726327441060,129.93,0.0,0.0
1726327441160,129.52,0.0,0.0
1726327441260,129.52,0.0,0.0
1726327441359,129.52,0.0,0.0
1726327441459,129.52,0.0,0.0
1726327441576,129.52,0.0,0.0
1726327441660,129.93,0.0,0.0
