time,voltage,speed5,distance_traveled,,,,speed10,speed7
,,,,,,,,0
1.72874E+12,0,0,0,,,,0,
,,,,,,,,0.31
1.72874E+12,0,0.07,0.010677358,,,,0.11,
,,,,,,,,0.31
1.72874E+12,0,0.07,0.021457382,,,,0.11,
,,,,,,,,0.31
1.72874E+12,0,0.07,0.031518738,,,,0.11,
,,,,,,,,1.64
1.72874E+12,0,0.07,0.043120098,,,,1,
,,,,,,,,1.64
1.72874E+12,0,0.07,0.051744118,,,,1,
,,,,,,,,3.06
1.72874E+12,0,0.07,0.063756145,,,,1,
,,,,,,,,3.06
1.72874E+12,0,0.07,0.072482831,,,,1.92,
,,,,,,,,4.64
1.72874E+12,0,0.07,0.086342863,,,,1.92,
,,,,,,,,4.64
1.72874E+12,0,0.07,0.096198885,,,,2.98,
,,,,,,,,5.57
1.72874E+12,0,0.07,0.10646557529999999,,,,2.98,
,,,,,,,,5.57
1.72874E+12,0,0.07,0.11529492869999998,,,,4.08,
,,,,,,,,5.9
1.72874E+12,0,0.49,0.175663066,,,,4.08,
,,,,,,,,5.9
1.72874E+12,0,0.49,0.257591252,,,,5.09,
,,,,,,,,6.07
1.72874E+12,0,0.49,0.331614087,,,,5.09,
,,,,,,,,6.07
1.72874E+12,0,0.49,0.41282360490000003,,,,5.34,
,,,,,,,,6.09
1.72874E+12,0,1.84,0.6557041569000001,,,,5.34,
,,,,,,,,6.09
1.72874E+12,0.4,1.84,0.9714488745000001,,,,5.64,
,,,,,,,,6.08
1.72874E+12,0,1.84,1.222425445,,,,5.64,
,,,,,,,,6.08
1.72874E+12,0,2.95,1.5815395944000001,,,,5.77,
,,,,,,,,6.11
1.72874E+12,0.4,2.95,2.083434068,,,,5.77,
,,,,,,,,6.17
1.72874E+12,0,2.95,2.498795012,,,,5.96,
,,,,,,,,6.17
1.72874E+12,0,3.44,2.9478307,,,,5.96,
,,,,,,,,6.17
1.72874E+12,0,3.44,3.523000007,,,,6.16,
,,,,,,,,6.17
1.72874E+12,0,3.44,4.113305348,,,,6.16,
,,,,,,,,6.26
1.72874E+12,0,3.44,4.537114312,,,,6.21,
,,,,,,,,6.26
1.72874E+12,0,3.44,4.9962406883999995,,,,6.21,
,,,,,,,,6.37
1.72874E+12,0,3.44,5.556273961,,,,6.26,
,,,,,,,,6.37
1.72874E+12,0,3.44,6.060808441,,,,6.34,
,,,,,,,,6.39
1.72874E+12,0,3.36,6.543753538799999,,,,6.34,
,,,,,,,,6.39
1.72874E+12,0,3.36,6.967562501999999,,,,6.41,
,,,,,,,,6.44
1.72874E+12,0,3.36,7.5047157227999985,,,,6.41,
,,,,,,,,6.43
1.72874E+12,0,3.36,8.101005077999998,,,,6.55,
,,,,,,,,6.43
1.72874E+12,0,3.25,8.501405987999998,,,,6.8,
,,,,,,,,6.35
1.72874E+12,0,3.25,9.030507190499998,,,,6.8,
,,,,,,,,6.35
1.72874E+12,0,3.25,9.540541682999999,,,,6.93,
,,,,,,,,6.33
1.72874E+12,0,3.71,9.997614721799998,,,,6.93,
,,,,,,,,6.33
1.72874E+12,0,3.71,10.563514674599999,,,,7.09,
,,,,,,,,6.3
1.72874E+12,0,3.71,11.162062701599998,,,,7.16,
,,,,,,,,6.3
1.72874E+12,0,4.17,11.718619966499999,,,,7.16,
,,,,,,,,6.21
1.72874E+12,0,4.17,12.360801425999998,,,,7.08,
,,,,,,,,6.21
1.72874E+12,0,4.88,13.098008434799999,,,,7.08,
,,,,,,,,6.2
1.72874E+12,0,4.88,13.899631589999998,,,,7.02,
,,,,,,,,6.2
1.72874E+12,0,5.32,14.617478554799998,,,,7.02,
,,,,,,,,6.16
1.72874E+12,0,5.32,15.382141625999997,,,,7.04,
,,,,,,,,6.16
1.72874E+12,0,5.82,16.201599488399996,,,,6.96,
,,,,,,,,6.08
1.72874E+12,0,5.82,17.055201428399997,,,,6.96,
,,,,,,,,6.08
1.72874E+12,0,6.13,18.116102506199994,,,,6.9,
,,,,,,,,6.07
1.72874E+12,0,6.35,19.066064665199995,,,,6.9,
,,,,,,,,6.07
1.72874E+12,0.4,6.35,19.988086760699993,,,,6.92,
,,,,,,,,6.03
1.72874E+12,0,6.27,20.788140578999993,,,,6.84,
,,,,,,,,6.03
1.72874E+12,0,6.27,21.698546648099992,,,,6.84,
,,,,,,,,5.95
1.72874E+12,0,6.22,22.73853301169999,,,,6.77,
,,,,,,,,5.95
1.72874E+12,0,6.22,23.495716065899988,,,,6.77,
,,,,,,,,5.94
1.72874E+12,0,6.21,24.56135448779999,,,,6.79,
,,,,,,,,5.94
1.72874E+12,0,6.21,25.472156557799988,,,,6.79,
,,,,,,,,5.9
1.72874E+12,0,6.15,26.365138587299988,,,,6.71,
,,,,,,,,5.9
1.72874E+12,0,6.15,27.185960452799986,,,,6.71,
,,,,,,,,5.83
1.72874E+12,0,6.16,28.297226978399987,,,,6.65,
,,,,,,,,5.83
1.72874E+12,0,6.16,29.083244764799986,,,,6.66,
,,,,,,,,5.8
1.72874E+12,0,6.44,29.886099922799986,,,,6.66,
,,,,,,,,5.8
1.72874E+12,0,6.6,30.960582364799986,,,,6.59,
,,,,,,,,5.77
1.72874E+12,0,6.6,32.08346491679999,,,,6.59,
,,,,,,,,5.77
1.72874E+12,0,6.64,32.96968559759999,,,,6.53,
,,,,,,,,5.69
1.72874E+12,0,6.64,33.943554477599996,,,,6.53,
,,,,,,,,5.69
1.72874E+12,0,6.73,35.019459589499995,,,,6.55,
,,,,,,,,5.67
1.72874E+12,0,6.73,36.06575263,,,,6.55,
,,,,,,,,5.67
1.72874E+12,0,6.6,36.87887448,,,,6.46,
,,,,,,,,5.63
1.72874E+12,0,6.6,37.97271697,,,,6.46,
,,,,,,,,5.63
1.72874E+12,0,6.5,38.87838569,,,,6.4,
,,,,,,,,5.56
1.72874E+12,0,6.4,39.863987933100006,,,,6.41,
,,,,,,,,5.56
1.72874E+12,0,6.4,40.661856413100004,,,,6.41,
,,,,,,,,5.56
1.72874E+12,0,6.39,41.73026684130001,,,,6.35,
,,,,,,,,5.53
1.72874E+12,0,6.39,42.69558503520001,,,,6.35,
,,,,,,,,5.53
1.72874E+12,0,6.36,43.647043197600006,,,,6.27,
,,,,,,,,5.5
1.72874E+12,0,6.36,44.54253323280001,,,,6.27,
,,,,,,,,5.5
1.72874E+12,0,6.55,45.666515787300014,,,,6.29,
,,,,,,,,5.43
1.72874E+12,0,6.55,46.61757794880001,,,,6.29,
,,,,,,,,5.43
1.72874E+12,0,6.61,47.49009993180001,,,,6.21,
,,,,,,,,5.4
1.72874E+12,0,6.64,48.541878322200006,,,,6.21,
,,,,,,,,5.4
1.72874E+12,0,6.64,49.428099,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.65,50.51072146,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.65,51.45679695,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.58,52.296406855200004,,,,6.16,
,,,,,,,,5.28
1.72874E+12,0,6.58,53.26147571520001,,,,6.09,
,,,,,,,,5.28
1.72874E+12,0,6.54,54.374150244000006,,,,6.09,
,,,,,,,,5.25
1.72874E+12,0,6.54,55.18947209700001,,,,6.02,
,,,,,,,,5.25
1.72874E+12,0,6.53,56.156784962100005,,,,6.02,
,,,,,,,,5.22
1.72874E+12,0,6.53,57.095365761900005,,,,6.04,
,,,,,,,,5.22
1.72874E+12,0,6.46,58.194429593100004,,,,6.04,
,,,,,,,,5.15
1.72874E+12,0,6.41,59.12516371,,,,5.95,
,,,,,,,,5.15
1.72874E+12,0,6.41,60.046496469000004,,,,5.95,
,,,,,,,,5.15
1.72874E+12,0.81,6.41,60.97723058,,,,5.9,
,,,,,,,,5.12
1.72874E+12,0,6.41,61.95497147,,,,5.9,
,,,,,,,,5.12
1.72874E+12,0,6.34,63.02432057,,,,5.9,
,,,,,,,,5.08
1.72874E+12,0,6.34,63.95418935,,,,5.9,
,,,,,,,,5.08
1.72874E+12,0,6.27,64.88298746,,,,5.83,
,,,,,,,,5.08
1.72874E+12,0,6.27,65.70143332,,,,5.83,
,,,,,,,,5
1.72874E+12,0,6.28,66.59487002,,,,5.77,
,,,,,,,,5
1.72874E+12,0,6.28,67.6448884,,,,5.77,
,,,,,,,,4.97
1.72874E+12,0,6.2,68.46329026469999,,,,5.78,
,,,,,,,,4.97
1.72874E+12,0,6.2,69.46355920469999,,,,5.78,
,,,,,,,,4.94
1.72874E+12,0,6.16,70.48447886,,,,5.7,
,,,,,,,,4.94
1.72874E+12,0,6.16,71.41505164,,,,5.7,
,,,,,,,,4.94
1.72874E+12,0,6.15,72.27195358739999,,,,5.64,
,,,,,,,,4.86
1.72874E+12,0,6.15,73.21905574,,,,5.64,
,,,,,,,,4.86
1.72874E+12,0,6.09,73.96041342,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.09,74.84468343449998,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.03,75.72024142439999,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.03,76.68423961529999,,,,5.56,
,,,,,,,,4.79
1.72874E+12,0,6.02,77.62015108,,,,5.56,
,,,,,,,,4.79
1.72874E+12,0,6.02,78.38830482149999,,,,5.5,
,,,,,,,,4.71
1.72874E+12,0,5.95,79.27842684449999,,,,5.5,
,,,,,,,,4.71
1.72874E+12,0,5.95,80.14236880799999,,,,5.51,
,,,,,,,,4.71
1.72874E+12,0,5.91,81.03517483709999,,,,5.51,
,,,,,,,,4.68
1.72874E+12,0,5.91,82.16201739809999,,,,5.43,
,,,,,,,,4.68
1.72874E+12,0,5.91,82.92480313169999,,,,5.43,
,,,,,,,,4.64
1.72874E+12,0,5.91,83.73959698,,,,5.37,
,,,,,,,,4.64
1.72874E+12,0,5.82,84.59319892,,,,5.37,
,,,,,,,,4.64
1.72874E+12,0,5.82,85.32729659190001,,,,5.37,
,,,,,,,,4.56
1.72874E+12,0,5.76,86.41709106870002,,,,5.36,
,,,,,,,,4.56
1.72874E+12,0,5.76,87.23654893110002,,,,5.36,
,,,,,,,,4.56
1.72874E+12,0,5.78,87.97407860730002,,,,5.28,
,,,,,,,,4.53
1.72874E+12,0,5.78,88.85572327770001,,,,5.28,
,,,,,,,,4.53
1.72874E+12,0,5.71,89.81043744750001,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.71,90.67303007,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.65,91.36082497,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.65,92.18120684,,,,5.22,
,,,,,,,,4.41
1.72874E+12,0,5.65,93.02644875659999,,,,5.22,
,,,,,,,,4.41
1.72874E+12,0,5.65,93.91312410509998,,,,5.15,
,,,,,,,,4.41
1.72874E+12,0,5.57,94.89344633309997,,,,5.15,
,,,,,,,,4.37
1.72874E+12,0,5.57,95.58784124459997,,,,5.09,
,,,,,,,,4.37
1.72874E+12,0,5.51,96.40405776629997,,,,5.09,
,,,,,,,,4.37
1.72874E+12,0,5.51,97.17178617779997,,,,5.09,
,,,,,,,,4.33
1.72874E+12,0,5.5,97.88972114279997,,,,5.08,
,,,,,,,,4.33
1.72874E+12,0,5.5,98.95452356279996,,,,5.08,
,,,,,,,,4.25
1.72874E+12,0,5.5,99.64019178779996,,,,5,
,,,,,,,,4.25
1.72874E+12,0,5.44,100.41412421339996,,,,5,
,,,,,,,,4.25
1.72874E+12,0,5.44,101.32369428059995,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.39,102.09051335669996,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.39,102.91266989189997,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.38,103.67806629809996,,,,4.93,
,,,,,,,,4.17
1.72874E+12,0,5.38,104.50658818109997,,,,4.93,
,,,,,,,,4.17
1.72874E+12,0,5.29,105.25918055819997,,,,4.86,
,,,,,,,,4.17
1.72874E+12,0,5.29,106.08160109399998,,,,4.86,
,,,,,,,,4.1
1.72874E+12,0,5.29,106.81867610249998,,,,4.86,
,,,,,,,,4.1
1.72874E+12,0,5.24,107.73323284769998,,,,4.79,
,,,,,,,,4.1
1.72874E+12,0,5.24,108.46334117369999,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.25,109.25644297619998,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.25,110.04184476119997,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.18,110.77119041879996,,,,4.79,
,,,,,,,,4.02
1.72874E+12,0,5.18,111.51573077759996,,,,4.71,
,,,,,,,,4.02
1.72874E+12,0,5.12,112.29670321919997,,,,4.71,
,,,,,,,,4.02
1.72874E+12,0,5.12,113.05514760959997,,,,4.71,
,,,,,,,,3.94
1.72874E+12,0,5.12,113.80608264959997,,,,4.65,
,,,,,,,,3.94
1.72874E+12,0,5.1,114.57652440059996,,,,4.65,
,,,,,,,,3.94
1.72874E+12,0,5.1,115.30208604959996,,,,4.64,
,,,,,,,,3.9
