time,voltage,speed,distance_traveled
1740708088027,0.0,0.0,0.0
1740708088128,0.0,0.0,0.0
1740708088229,0.0,0.0,0.0
1740708088330,0.0,0.0,0.0
1740708088431,0.0,0.0,0.0
1740708088535,0.0,0.0,0.0
1740708088635,0.4,0.0,0.0
1740708088735,0.81,0.0,0.0
1740708088838,0.4,0.0,0.0
1740708088937,1.21,0.0,0.0
1740708089038,0.0,0.0,0.0
1740708089140,0.0,0.0,0.0
1740708089241,0.0,0.0,0.0
1740708089343,0.0,0.0,0.0
1740708089444,0.0,0.0,0.0
1740708089545,0.0,0.0,0.0
1740708089645,0.4,0.0,0.0
1740708089747,0.0,0.0,0.0
1740708089848,0.0,0.0,0.0
1740708089950,0.0,0.0,0.0
1740708090051,0.0,0.0,0.0
1740708090154,0.0,0.0,0.0
1740708090253,0.4,0.0,0.0
1740708090354,0.0,0.0,0.0
1740708090455,0.0,0.0,0.0
1740708090556,0.0,0.0,0.0
1740708090656,0.0,0.0,0.0
1740708090759,0.0,0.0,0.0
1740708090860,2.02,0.0,0.0
1740708090961,0.81,0.0,0.0
1740708091061,0.0,0.0,0.0
1740708091163,0.0,0.0,0.0
1740708091264,0.0,0.0,0.0
1740708091365,0.81,0.0,0.0
1740708091470,0.81,0.0,0.0
1740708091570,0.0,0.0,0.0
1740708091668,1.21,0.0,0.0
1740708091769,0.0,0.0,0.0
1740708091870,0.0,0.0,0.0
1740708091947,0.4,0.0,0.0
1740708092023,0.0,0.0,0.0
1740708092123,0.81,0.0,0.0
1740708092224,0.0,0.0,0.0
1740708092325,0.0,0.0,0.0
1740708092402,0.4,0.0,0.0
1740708092478,0.0,0.0,0.0
1740708092578,0.0,0.0,0.0
1740708092680,0.0,0.0,0.0
1740708092781,0.0,0.0,0.0
1740708092882,1.21,0.0,0.0
1740708092983,0.0,0.0,0.0
1740708093084,0.0,0.0,0.0
1740708093185,0.0,0.0,0.0
1740708093286,0.0,0.0,0.0
1740708093388,0.0,0.0,0.0
1740708093490,0.0,0.0,0.0
1740708093590,0.0,0.0,0.0
1740708093691,0.0,0.0,0.0
1740708093792,0.0,0.0,0.0
1740708093893,0.4,0.0,0.0
1740708094000,0.0,0.0,0.0
1740708094095,0.0,0.0,0.0
1740708094196,0.0,0.0,0.0
1740708094298,0.0,0.0,0.0
1740708094374,0.4,0.0,0.0
1740708094450,0.0,0.0,0.0
1740708094551,1.21,0.0,0.0
1740708094652,0.0,0.0,0.0
1740708094753,0.0,0.0,0.0
1740708094854,0.0,0.0,0.0
1740708094955,0.0,0.0,0.0
1740708095056,0.4,0.0,0.0
1740708095157,0.0,0.0,0.0
1740708095258,0.0,0.0,0.0
1740708095361,0.0,0.0,0.0
1740708095462,0.0,0.0,0.0
1740708095562,0.0,0.0,0.0
1740708095663,0.0,0.0,0.0
1740708095764,0.0,0.0,0.0
1740708095865,1.21,0.0,0.0
1740708095967,0.0,0.0,0.0
1740708096068,0.0,0.0,0.0
1740708096169,0.0,0.0,0.0
1740708096270,0.0,0.0,0.0
1740708096375,0.0,0.0,0.0
1740708096473,0.0,0.0,0.0
1740708096573,0.4,0.0,0.0
1740708096674,0.0,0.0,0.0
1740708096776,0.0,0.0,0.0
1740708096878,0.0,0.0,0.0
1740708096978,0.0,0.0,0.0
1740708097079,0.0,0.0,0.0
1740708097181,0.0,0.0,0.0
1740708097282,0.0,0.0,0.0
1740708097383,0.0,0.0,0.0
1740708097484,0.0,0.0,0.0
1740708097585,0.81,0.0,0.0
1740708097686,1.21,0.0,0.0
1740708097788,0.0,0.0,0.0
1740708097889,0.0,0.0,0.0
1740708097990,0.0,0.0,0.0
1740708098091,0.0,0.0,0.0
1740708098192,0.0,0.0,0.0
1740708098293,2.02,0.0,0.0
1740708098394,0.0,0.0,0.0
1740708098495,0.0,0.0,0.0
1740708098597,0.0,0.0,0.0
1740708098698,0.4,0.0,0.0
1740708098799,0.0,0.0,0.0
1740708098900,0.0,0.0,0.0
1740708099001,0.4,0.0,0.0
1740708099102,0.0,0.0,0.0
1740708099203,0.0,0.0,0.0
1740708099304,0.0,0.0,0.0
1740708099407,2.02,0.0,0.0
1740708099509,0.0,0.0,0.0
1740708099608,0.81,0.0,0.0
1740708099709,0.0,0.0,0.0
1740708099810,0.4,0.0,0.0
1740708099912,0.0,0.0,0.0
1740708100015,0.4,0.0,0.0
